id,name,type,website,about,status,displayCity,corpsLogo,slug
001j000000H3XwCAAV,Santa Clara Vanguard,"Corps, World Class",http://www.scvanguard.org/,"Since founded in 1967, Santa Clara Vanguard has won seven DCI World Championship titles during the organization’s long and illustrious history, most recently in 2018.  The corps is the only group to have performed in every Finals competition since the 1972 inception of DCI, a record that will never be matched.  The organization, Vanguard Music and Performing Arts, also sponsors the Open Class Vanguard Cadets and several other community-focused ensembles.",Active,"Santa Clara, CA",https://production.assets.dci.org/5a18117cd670bd001b2e6387_MJHtTWe9hESYCjjk5gijQHS1BiA14M6Y.png,santa-clara-vanguard
001j000000IWwSoAAL,Blue Knights,"Corps, World Class",http://www.ascendperformingarts.org/,"Former vaudeville comedians and musicians, Fred and Faye Taylor, founded the Blue Knights in 1958.  Recognized for innovation in visual design and contemporary programming, the Blue Knights have been a DCI World Championship finalist more than 20 times.  Operating under Ascend Performing Arts, the organization also sponsors other ensembles including an award-winning indoor percussion ensemble and the first-ever NFL drumline, the Stampede.  Ascend also conducts numerous events, educational clinics, and provides event entertainment worldwide.",Active,"Denver, CO",https://production.assets.dci.org/664e443b03a281abe60e72a2_fG7jyZ6fFvU8vSeg0iqQCJsG_P4ce4rQ.png,blue-knights
001j000000IWwSqAAL,Blue Stars,"Corps, World Class",http://www.bluestars.org/,"Founded in 1964, Blue Stars was the silver medalist at the 1972 Drum Corps International World Championship, finishing just over a half a point away from winning the inaugural event.  Competing as an Open Class unit for much of the late 1980s, ’90s and early ’00s, the corps won the World Championship title in its class in 1989, 1993, 2001 and 2003.  Blue Stars began competing among DCI’s World Class ranks again in 2006.",Active,"La Crosse, WI",https://production.assets.dci.org/5a181124d670bd001f490b0b_O-JgnhkTHqeBTb2CX2DmCYHHMzfR9WCa.png,blue-stars
001j000000IWwSrAAL,Bluecoats,"Corps, World Class",http://www.bluecoats.com,"The Bluecoats organization was founded in 1972 as an outreach program of the Canton, Ohio Police Boys’ Club.  The corps’ name was chosen in tribute to the city’s retired police officers.  Making its competitive debut in 1974, fans traditionally welcome the corps to the field with a signature cheer of “Bloo!” The corps has finished in eighth place or better since 2001, winning their very first DCI World Championship title in 2016.",Active,"Canton, OH",https://production.assets.dci.org/61f832aee12c1b07ae0ee0e2_U4-72NITblZrzChQJr_T1VnKU93o9wrY.png,bluecoats
001j000000IWwSsAAL,Boston Crusaders,"Corps, World Class",http://www.bostoncrusaders.org/,"Boston Crusaders was founded in 1940 as the Most Precious Blood Crusaders.  Separating from the church parish that sponsored the group in its early years, the corps became the Hyde Park Crusaders and later the Boston Crusaders as it established itself as a national powerhouse.  A charter member of Drum Corps International in the 1970s, it would not be until 1999 that Boston skyrocketed into the DCI World Championship Finals.  The corps has retained its spot among DCI’s elite Top 12 ever since.",Active,"Boston, MA",https://production.assets.dci.org/5a181124d670bd001f490b0d_-rL8mWx--vjTIXAXL829d5QRD8ANuyqN.png,boston-crusaders
001j000000I6LENAA3,Madison Scouts,"Corps, World Class",http://www.madisonscouts.org/,"Founded in 1938, the Madison Scouts is a premier youth performing arts organization on the modern drum and bugle corps scene.  “Proud, Loud and Pleasing the Crowd”—a mantra of the corps—the Scouts are known for their entertainment-focused programs that consistently bring audiences to their feet.  They are a founding member of Drum Corps International and have been twice crowned as DCI World Champions (1975, 1988).  Forward Performing Arts, the parent organization of the drum corps, also sponsors SoundSport, DrumLine Battle and WGI Sport of the Arts ensembles.",Active,"Madison, WI",https://production.assets.dci.org/5a181168d670bd001b2e637b_XVfT9k-W5gcOkuQ6X0dN90CVLLeqv2HY.png,madison-scouts
001j000000IWx9oAAD,Genesis,"Corps, World Class",http://www.genesisdbc.org/,"Celebrating its 10th anniversary in 2019, Genesis got its start in 2009 through combined efforts of its founding members and the schools in the Rio Grande Valley of Texas.  Now based in Austin, the corps focuses on giving members the chance to interact with Texas communities, enrich their musical and physical educations, and to perform at the peak of their potential.  Genesis finished as a finalist in its very first trip to the Open Class Championship in 2010.  2017 marked the corps’ first year competing in DCI’s World Class division.",Active,"Austin, TX",https://production.assets.dci.org/5a181125d670bd001f490b16_vTp0iccgUqUXcPdxJBuDSSHGi-pVJbFB.png,genesis
001j000000IWxA3AAL,Mandarins,"Corps, World Class",http://www.mandarins.org/,"Founded in 1963, the Mandarins organization has long been known for blending Asian traditions with drum corps.  The corps has been a DCI World Champion in its class eight times, including an unmatched string of four titles as a Division III unit between 1996 and 1999.  Mandarins started competing as a World Class corps in 2003 and earned a spot as a DCI World Championship finalist for the very first time in 2018.",Active,"Sacramento, CA",https://production.assets.dci.org/5a181168d670bd001b2e637c_hsc3QNRMPgTFcrZ7cGL5SZnfVa-ElLRW.png,mandarins
001j000000IWxA5AAL,Music City,"Corps, World Class",https://musiccityyouth.org/,"Music City originally formed when a group of music educators and enthusiasts came together with a goal of bringing a new Drum Corps International group to Nashville.  Forty-seven members strong in 2009, the corps grew tremendously while forging a tradition of fielding audience-friendly productions.  An Open Class Finalist every year since 2010, 2018 marked the corps’ first time competing in Drum Corps International’s World Class division.",Active,"Nashville, TN",https://production.assets.dci.org/60745db031aad24c2a28bf82_NX3k9OaDxEwg3iY32PA_0HopnnIN4zNi.png,music-city
001j000000IWxA7AAL,Pacific Crest,"Corps, World Class",http://www.pacific-crest.org/,"Organized in 1993 with just 33 students, Pacific Crest has grown steadily since its founding.  The corps first competed out of the state of California in 2000, and earned a Semifinals berth in its very first trip to the DCI World Championships in 2003.  Pacific Crest has found its success over the years focusing on its impact in Southern California.  Capping off the celebration of the organization’s 25th anniversary in 2018, the corps performed at the Rose Parade in Pasadena.",Active,"City of Industry, CA",https://production.assets.dci.org/5a18117cd670bd001b2e6380_ig_O2i2w44kMY9sAdB33wfyR7FxaUwnq.png,pacific-crest
001j000000IWxADAA1,Spirit of Atlanta,"Corps, World Class",https://www.spiritofatlanta.org/,"Founded in 1976, Spirit of Atlanta quickly rose to drum corps prominence with a sixth-place finish in only the corps’ second season.  Well known during its formative years for a huge brass sound and performances that evoked the soulful and sultry persona of its southern hometown region, the group has claimed a spot in the DCI World Championship Finals 20 times since 1978.",Active,"Atlanta, GA",https://production.assets.dci.org/63db1d184f749ab6c1031403_kq1KhesMNe83jr9WLQnnVs6XIi0WPWi2.png,spirit-of-atlanta
