corps,event_name,date,location,chief_judge,season,total_score,total_rank,color_guard_achievement_judge,color_guard_achievement_rank,color_guard_achievement_score,color_guard_content_judge,color_guard_content_rank,color_guard_content_score,general_effect_1_performance_judge,general_effect_1_performance_rank,general_effect_1_performance_score,general_effect_1_repertoire_judge,general_effect_1_repertoire_rank,general_effect_1_repertoire_score,general_effect_2_performance_judge,general_effect_2_performance_rank,general_effect_2_performance_score,general_effect_2_repertoire_judge,general_effect_2_repertoire_rank,general_effect_2_repertoire_score,music_analysis_achievement_judge,music_analysis_achievement_rank,music_analysis_achievement_score,music_analysis_content_judge,music_analysis_content_rank,music_analysis_content_score,music_brass_achievement_judge,music_brass_achievement_rank,music_brass_achievement_score,music_brass_content_judge,music_brass_content_rank,music_brass_content_score,music_brass_continuity_judge,music_brass_continuity_rank,music_brass_continuity_score,music_percussion_achievement_judge,music_percussion_achievement_rank,music_percussion_achievement_score,music_percussion_content_judge,music_percussion_content_rank,music_percussion_content_score,music_percussion_continuity_judge,music_percussion_continuity_rank,music_percussion_continuity_score,penalties_judge,penalties_rank,penalties_score,special_brass_friday_judge,special_brass_friday_rank,special_brass_friday_score,special_brass_thursday_judge,special_brass_thursday_rank,special_brass_thursday_score,special_cg_friday_judge,special_cg_friday_rank,special_cg_friday_score,special_cg_thursday_judge,special_cg_thursday_rank,special_cg_thursday_score,special_ge_friday_judge,special_ge_friday_rank,special_ge_friday_score,special_ge_thursday_judge,special_ge_thursday_rank,special_ge_thursday_score,special_perc_friday_judge,special_perc_friday_rank,special_perc_friday_score,special_perc_thursday_judge,special_perc_thursday_rank,special_perc_thursday_score,special_visual_proficiency_friday_judge,special_visual_proficiency_friday_rank,special_visual_proficiency_friday_score,special_visual_proficiency_thursday_judge,special_visual_proficiency_thursday_rank,special_visual_proficiency_thursday_score,visual_analysis_achievement_judge,visual_analysis_achievement_rank,visual_analysis_achievement_score,visual_analysis_composition_judge,visual_analysis_composition_rank,visual_analysis_composition_score,visual_proficiency_achievement_judge,visual_proficiency_achievement_rank,visual_proficiency_achievement_score,visual_proficiency_content_judge,visual_proficiency_content_rank,visual_proficiency_content_score,visual_proficiency_continuity_judge,visual_proficiency_continuity_rank,visual_proficiency_continuity_score
Blue Devils,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,97.075,3,Robert Solomon,3.0,9.65,Robert Solomon,2.0,9.8,Damon Padilla,3.0,9.7,Damon Padilla,2.0,9.8,Jodie Rhodes,3.0,9.7,Jodie Rhodes,2.0,9.7,Dave Carbone,3.0,9.7,Dave Carbone,3.0,9.7,Bryan Crisp,3.0,9.6,Bryan Crisp,2.0,9.8,,,,Mike Leitzke,5.0,9.4,Mike Leitzke,3.0,9.75,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,3.0,9.7,Travis Wingate,2.0,9.8,Chris Moss,2.0,9.8,Chris Moss,2.0,9.8,,,
Blue Stars,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,91.6,8,Robert Solomon,7.0,9.3,Robert Solomon,5.0,9.5,Damon Padilla,8.0,9.2,Damon Padilla,8.0,9.2,Jodie Rhodes,8.0,9.25,Jodie Rhodes,8.0,9.2,Dave Carbone,7.0,9.2,Dave Carbone,7.0,9.3,Bryan Crisp,7.0,9.2,Bryan Crisp,7.0,9.3,,,,Mike Leitzke,11.0,8.7,Mike Leitzke,10.0,9,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,8.0,9.1,Travis Wingate,7.0,9.2,Chris Moss,8.0,8.9,Chris Moss,8.0,9,,,
Bluecoats,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,98.75,1,Robert Solomon,2.0,9.8,Robert Solomon,3.0,9.7,Damon Padilla,1.0,9.9,Damon Padilla,1.0,9.9,Jodie Rhodes,1.0,9.9,Jodie Rhodes,1.0,9.9,Dave Carbone,1.0,9.9,Dave Carbone,1.0,10,Bryan Crisp,2.0,9.75,Bryan Crisp,1.0,9.85,,,,Mike Leitzke,3.0,9.55,Mike Leitzke,1.0,9.9,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,1.0,10,Travis Wingate,1.0,10,Chris Moss,1.0,9.9,Chris Moss,1.0,9.9,,,
Boston Crusaders,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,97.413,2,Robert Solomon,1.0,9.9,Robert Solomon,1.0,9.9,Damon Padilla,2.0,9.8,Damon Padilla,4.0,9.6,Jodie Rhodes,2.0,9.8,Jodie Rhodes,3.0,9.65,Dave Carbone,2.0,9.8,Dave Carbone,2.0,9.8,Bryan Crisp,4.0,9.55,Bryan Crisp,4.0,9.6,,,,Mike Leitzke,2.0,9.65,Mike Leitzke,4.0,9.7,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,2.0,9.9,Travis Wingate,3.0,9.7,Chris Moss,3.0,9.7,Chris Moss,3.0,9.7,,,
Carolina Crown,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,95.025,5,Robert Solomon,4.0,9.6,Robert Solomon,4.0,9.6,Damon Padilla,5.0,9.5,Damon Padilla,6.0,9.4,Jodie Rhodes,5.0,9.45,Jodie Rhodes,4.0,9.5,Dave Carbone,4.0,9.6,Dave Carbone,5.0,9.5,Bryan Crisp,1.0,9.8,Bryan Crisp,3.0,9.65,,,,Mike Leitzke,6.0,9.2,Mike Leitzke,7.0,9.25,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,4.0,9.5,Travis Wingate,6.0,9.3,Chris Moss,5.0,9.5,Chris Moss,4.0,9.5,,,
Colts,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,89.775,9,Robert Solomon,8.0,9.2,Robert Solomon,9.0,9,Damon Padilla,10.0,9,Damon Padilla,9.0,9,Jodie Rhodes,10.0,9,Jodie Rhodes,9.0,9.15,Dave Carbone,9.0,9,Dave Carbone,9.0,9.1,Bryan Crisp,11.0,8.7,Bryan Crisp,10.0,9,,,,Mike Leitzke,9.0,8.9,Mike Leitzke,11.0,8.9,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,9.0,9,Travis Wingate,9.0,8.9,Chris Moss,9.0,8.8,Chris Moss,9.0,8.9,,,
Madison Scouts,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,87.05,12,Robert Solomon,10.0,8.9,Robert Solomon,11.0,8.8,Damon Padilla,11.0,8.9,Damon Padilla,12.0,8.7,Jodie Rhodes,11.0,8.8,Jodie Rhodes,11.0,8.8,Dave Carbone,11.0,8.8,Dave Carbone,12.0,8.7,Bryan Crisp,12.0,8.6,Bryan Crisp,12.0,8.8,,,,Mike Leitzke,12.0,8.4,Mike Leitzke,12.0,8.6,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,11.0,8.7,Travis Wingate,11.0,8.7,Chris Moss,11.0,8.6,Chris Moss,12.0,8.5,,,
Mandarins,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,92.15,7,Robert Solomon,9.0,9.1,Robert Solomon,8.0,9.2,Damon Padilla,7.0,9.3,Damon Padilla,5.0,9.5,Jodie Rhodes,7.0,9.3,Jodie Rhodes,7.0,9.3,Dave Carbone,8.0,9.1,Dave Carbone,8.0,9.2,Bryan Crisp,8.0,9.1,Bryan Crisp,8.0,9.2,,,,Mike Leitzke,10.0,8.8,Mike Leitzke,8.0,9.2,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,7.0,9.2,Travis Wingate,8.0,9,Chris Moss,6.0,9.2,Chris Moss,6.0,9.3,,,
Phantom Regiment,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,95.225,4,Robert Solomon,5.0,9.5,Robert Solomon,6.0,9.4,Damon Padilla,4.0,9.6,Damon Padilla,3.0,9.7,Jodie Rhodes,4.0,9.5,Jodie Rhodes,5.0,9.4,Dave Carbone,5.0,9.4,Dave Carbone,4.0,9.6,Bryan Crisp,5.0,9.4,Bryan Crisp,5.0,9.5,,,,Mike Leitzke,4.0,9.5,Mike Leitzke,5.0,9.5,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,5.0,9.4,Travis Wingate,4.0,9.6,Chris Moss,4.0,9.6,Chris Moss,7.0,9.2,,,
Santa Clara Vanguard,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,93.925,6,Robert Solomon,6.0,9.4,Robert Solomon,7.0,9.3,Damon Padilla,6.0,9.4,Damon Padilla,7.0,9.3,Jodie Rhodes,6.0,9.4,Jodie Rhodes,6.0,9.35,Dave Carbone,6.0,9.3,Dave Carbone,6.0,9.4,Bryan Crisp,6.0,9.3,Bryan Crisp,6.0,9.4,,,,Mike Leitzke,1.0,9.7,Mike Leitzke,2.0,9.8,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,6.0,9.3,Travis Wingate,5.0,9.4,Chris Moss,7.0,9,Chris Moss,5.0,9.4,,,
